[2026-08-11 23:36:06.031 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-11 15:38:48.075 (UTC)] info/application	[Sensor] Updated distance: 24.51534276013977 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:49.075 (UTC)] info/application	[Sensor] Updated distance: 4.937029914435479 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:50.076 (UTC)] info/application	[Sensor] Updated distance: 18.295518562335296 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:51.079 (UTC)] info/application	[Sensor] Updated distance: 33.118625878877296 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:52.072 (UTC)] info/application	[Sensor] Updated distance: 12.44861100355564 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:53.073 (UTC)] info/application	[Sensor] Updated distance: 40.885427403676054 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:54.075 (UTC)] info/application	[Sensor] Updated distance: 25.05381953299689 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:55.076 (UTC)] info/application	[Sensor] Updated distance: 23.238093758578454 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:56.079 (UTC)] info/application	[Sensor] Updated distance: 22.46724157243373 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:57.072 (UTC)] info/application	[Sensor] Updated distance: 26.438624177332326 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:58.075 (UTC)] info/application	[Sensor] Updated distance: 20.06792833752368 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:59.076 (UTC)] info/application	[Sensor] Updated distance: 26.947859865123338 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:00.078 (UTC)] info/application	[Sensor] Updated distance: 29.295324815109055 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:01.070 (UTC)] info/application	[Sensor] Updated distance: 13.246674334279575 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:02.073 (UTC)] info/application	[Sensor] Updated distance: 37.97465830481362 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:03.075 (UTC)] info/application	[Sensor] Updated distance: 45.285569814632446 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:04.077 (UTC)] info/application	[Sensor] Updated distance: 19.623712503176048 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:05.079 (UTC)] info/application	[Sensor] Updated distance: 45.62397896294667 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:06.071 (UTC)] info/application	[Sensor] Updated distance: 39.467258314354 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:07.073 (UTC)] info/application	[Sensor] Updated distance: 36.14400925587118 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:08.076 (UTC)] info/application	[Sensor] Updated distance: 23.611241402854787 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:09.079 (UTC)] info/application	[Sensor] Updated distance: 15.22679918130245 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:10.072 (UTC)] info/application	[Sensor] Updated distance: 17.2058075811741 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:11.074 (UTC)] info/application	[Sensor] Updated distance: 5.283484795728459 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:12.077 (UTC)] info/application	[Sensor] Updated distance: 12.223722909681369 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:13.070 (UTC)] info/application	[Sensor] Updated distance: 25.891207959452274 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:14.074 (UTC)] info/application	[Sensor] Updated distance: 21.92346967194391 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:15.075 (UTC)] info/application	[Sensor] Updated distance: 6.533670777703482 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:16.078 (UTC)] info/application	[Sensor] Updated distance: 5.958410458619897 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:17.079 (UTC)] info/application	[Sensor] Updated distance: 49.5270918829027 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:18.079 (UTC)] info/application	[Sensor] Updated distance: 18.627819784277964 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:19.071 (UTC)] info/application	[Sensor] Updated distance: 28.473753218759665 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:20.073 (UTC)] info/application	[Sensor] Updated distance: 4.4641217749864435 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:21.075 (UTC)] info/application	[Sensor] Updated distance: 34.923338368965005 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:22.077 (UTC)] info/application	[Sensor] Updated distance: 11.592379097636965 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:23.079 (UTC)] info/application	[Sensor] Updated distance: 14.912732778542084 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:24.070 (UTC)] info/application	[Sensor] Updated distance: 25.808765750289318 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:25.072 (UTC)] info/application	[Sensor] Updated distance: 34.646198630633855 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:26.075 (UTC)] info/application	[Sensor] Updated distance: 36.15082653712054 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:27.076 (UTC)] info/application	[Sensor] Updated distance: 46.276007322723046 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:28.076 (UTC)] info/application	[Sensor] Updated distance: 11.084822785614442 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:29.077 (UTC)] info/application	[Sensor] Updated distance: 6.218754874644221 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:30.069 (UTC)] info/application	[Sensor] Updated distance: 23.223867165494646 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:31.071 (UTC)] info/application	[Sensor] Updated distance: 38.3801476007235 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:32.073 (UTC)] info/application	[Sensor] Updated distance: 17.465429208923794 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:33.074 (UTC)] info/application	[Sensor] Updated distance: 11.198525470308272 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:34.075 (UTC)] info/application	[Sensor] Updated distance: 33.66571741535594 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:35.077 (UTC)] info/application	[Sensor] Updated distance: 35.089141712099845 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:36.079 (UTC)] info/application	[Sensor] Updated distance: 6.822504410903204 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:37.071 (UTC)] info/application	[Sensor] Updated distance: 23.132975707358202 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:38.073 (UTC)] info/application	[Sensor] Updated distance: 21.233150967971024 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:39.075 (UTC)] info/application	[Sensor] Updated distance: 28.433745813757994 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:40.076 (UTC)] info/application	[Sensor] Updated distance: 36.35977488866065 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:41.077 (UTC)] info/application	[Sensor] Updated distance: 36.43895854914512 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:42.078 (UTC)] info/application	[Sensor] Updated distance: 31.71723060948645 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:43.079 (UTC)] info/application	[Sensor] Updated distance: 46.58349779834202 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:44.071 (UTC)] info/application	[Sensor] Updated distance: 12.330166486245657 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:45.073 (UTC)] info/application	[Sensor] Updated distance: 3.6407002590786197 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:46.073 (UTC)] info/application	[Sensor] Updated distance: 3.117168576045506 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:47.076 (UTC)] info/application	[Sensor] Updated distance: 16.288576967217296 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:48.079 (UTC)] info/application	[Sensor] Updated distance: 3.167792119629584 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:49.072 (UTC)] info/application	[Sensor] Updated distance: 19.74498836032347 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:50.074 (UTC)] info/application	[Sensor] Updated distance: 42.762330185976964 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:51.077 (UTC)] info/application	[Sensor] Updated distance: 5.6319138946160265 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:52.079 (UTC)] info/application	[Sensor] Updated distance: 4.668326706936735 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:53.070 (UTC)] info/application	[Sensor] Updated distance: 4.3547092612621885 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:54.072 (UTC)] info/application	[Sensor] Updated distance: 18.544646695509854 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:55.072 (UTC)] info/application	[Sensor] Updated distance: 28.477092457226053 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:56.073 (UTC)] info/application	[Sensor] Updated distance: 37.00090791424778 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:57.073 (UTC)] info/application	[Sensor] Updated distance: 4.695473210278653 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:58.073 (UTC)] info/application	[Sensor] Updated distance: 24.75309975759736 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:39:59.074 (UTC)] info/application	[Sensor] Updated distance: 46.085730699862225 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:00.074 (UTC)] info/application	[Sensor] Updated distance: 8.914228084922874 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:01.075 (UTC)] info/application	[Sensor] Updated distance: 45.97696694544375 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:02.076 (UTC)] info/application	[Sensor] Updated distance: 34.46587830058573 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:03.078 (UTC)] info/application	[Sensor] Updated distance: 24.37965731619841 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:04.080 (UTC)] info/application	[Sensor] Updated distance: 7.175492393400283 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:05.070 (UTC)] info/application	[Sensor] Updated distance: 18.13159569358993 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:06.071 (UTC)] info/application	[Sensor] Updated distance: 9.468799005946515 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:07.074 (UTC)] info/application	[Sensor] Updated distance: 11.997996804303488 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:08.075 (UTC)] info/application	[Sensor] Updated distance: 39.264571400948135 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:09.076 (UTC)] info/application	[Sensor] Updated distance: 28.701949973917543 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:10.077 (UTC)] info/application	[Sensor] Updated distance: 38.43174264041322 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:11.078 (UTC)] info/application	[Sensor] Updated distance: 25.624346267257046 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:12.070 (UTC)] info/application	[Sensor] Updated distance: 15.140908500710925 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:13.071 (UTC)] info/application	[Sensor] Updated distance: 20.148973227547934 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:14.072 (UTC)] info/application	[Sensor] Updated distance: 22.207844043247327 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:15.073 (UTC)] info/application	[Sensor] Updated distance: 25.471075009308322 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:16.075 (UTC)] info/application	[Sensor] Updated distance: 21.789673508978296 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:17.076 (UTC)] info/application	[Sensor] Updated distance: 23.325012619292835 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:18.077 (UTC)] info/application	[Sensor] Updated distance: 39.75965197652562 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:19.078 (UTC)] info/application	[Sensor] Updated distance: 22.95746562860788 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:20.079 (UTC)] info/application	[Sensor] Updated distance: 41.070001001968045 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:21.079 (UTC)] info/application	[Sensor] Updated distance: 32.52198214015084 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:22.070 (UTC)] info/application	[Sensor] Updated distance: 26.58937954557565 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:23.071 (UTC)] info/application	[Sensor] Updated distance: 43.738327708904784 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:24.072 (UTC)] info/application	[Sensor] Updated distance: 34.876691423764775 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:25.075 (UTC)] info/application	[Sensor] Updated distance: 43.1340262410855 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:26.078 (UTC)] info/application	[Sensor] Updated distance: 22.215420166130837 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:27.071 (UTC)] info/application	[Sensor] Updated distance: 21.877599315660817 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:28.073 (UTC)] info/application	[Sensor] Updated distance: 45.82949945136416 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:29.074 (UTC)] info/application	[Sensor] Updated distance: 44.9685199237282 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:30.075 (UTC)] info/application	[Sensor] Updated distance: 17.963329993171307 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:31.076 (UTC)] info/application	[Sensor] Updated distance: 4.743727536287032 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:32.077 (UTC)] info/application	[Sensor] Updated distance: 40.94548684682021 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:33.078 (UTC)] info/application	[Sensor] Updated distance: 2.429208271405291 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:34.069 (UTC)] info/application	[Sensor] Updated distance: 27.123384852485444 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:35.070 (UTC)] info/application	[Sensor] Updated distance: 46.12097924022049 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:36.071 (UTC)] info/application	[Sensor] Updated distance: 18.56080396499522 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:37.072 (UTC)] info/application	[Sensor] Updated distance: 34.59218385843196 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:38.074 (UTC)] info/application	[Sensor] Updated distance: 8.118976044523983 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:39.075 (UTC)] info/application	[Sensor] Updated distance: 7.825375343591615 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:40.076 (UTC)] info/application	[Sensor] Updated distance: 13.294133832349504 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:41.077 (UTC)] info/application	[Sensor] Updated distance: 44.55071868493721 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:42.078 (UTC)] info/application	[Sensor] Updated distance: 31.44972161084866 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:43.079 (UTC)] info/application	[Sensor] Updated distance: 26.435042333060427 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:44.079 (UTC)] info/application	[Sensor] Updated distance: 14.699691890133401 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:45.080 (UTC)] info/application	[Sensor] Updated distance: 3.6575656540959915 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:46.070 (UTC)] info/application	[Sensor] Updated distance: 49.90611734236875 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:47.070 (UTC)] info/application	[Sensor] Updated distance: 34.4893653991117 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:48.071 (UTC)] info/application	[Sensor] Updated distance: 24.982578273388825 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:49.073 (UTC)] info/application	[Sensor] Updated distance: 39.665769296542635 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:50.075 (UTC)] info/application	[Sensor] Updated distance: 7.446831027719579 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:51.077 (UTC)] info/application	[Sensor] Updated distance: 16.052579253005135 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:52.079 (UTC)] info/application	[Sensor] Updated distance: 22.18775143669348 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:53.072 (UTC)] info/application	[Sensor] Updated distance: 32.03621057329523 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:54.075 (UTC)] info/application	[Sensor] Updated distance: 9.790906961909918 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:55.078 (UTC)] info/application	[Sensor] Updated distance: 7.06444283810651 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:56.071 (UTC)] info/application	[Sensor] Updated distance: 25.17023679202899 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:57.073 (UTC)] info/application	[Sensor] Updated distance: 30.006327128040756 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:58.074 (UTC)] info/application	[Sensor] Updated distance: 26.94204215376733 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:40:59.076 (UTC)] info/application	[Sensor] Updated distance: 20.999736221041406 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:41:00.078 (UTC)] info/application	[Sensor] Updated distance: 24.974847029417216 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:41:01.079 (UTC)] info/application	[Sensor] Updated distance: 42.90537214693863 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:41:02.071 (UTC)] info/application	[Sensor] Updated distance: 23.74346375732844 cm |
